test,PKG,CPU,time
bubblesort_ll2,0.018432617,0.018066406,3.586
bubblesort_ll2,0.023376465,0.018859863,3.639
bubblesort_ll2,0.02520752,0.020141602,3.722
bubblesort_ll2,0.017700195,0.017944336,3.564
bubblesort_ll2,0.023742676,0.017700195,3.583
bubblesort_ll2,0.018493652,0.017456055,3.615
bubblesort_ll2,0.023498535,0.019165039,3.76
bubblesort_ll2,0.023254395,0.01739502,3.538
bubblesort_ll2,0.018493652,0.018493652,3.551
bubblesort_ll2,0.024047852,0.017822266,3.586
bubblesort_ll2,0.024719238,0.018310547,3.638
bubblesort_ll2,0.017028809,0.018005371,3.587
bubblesort_ll2,0.023681641,0.017944336,3.582
bubblesort_ll2,0.017944336,0.018432617,3.638
bubblesort_ll2,0.023864746,0.018066406,3.592
bubblesort_ll2,0.024414063,0.018066406,3.601
bubblesort_ll2,0.016845703,0.017456055,3.607
bubblesort_ll2,0.024414063,0.018310547,3.546
bubblesort_ll2,0.018188477,0.018981934,3.615
bubblesort_ll2,0.023742676,0.01763916,3.555
bubblesort_ll2,0.019042969,0.018310547,3.571
bubblesort_ll2,0.023864746,0.018859863,3.642
bubblesort_ll2,0.023925781,0.018676758,3.665
bubblesort_ll2,0.025024414,0.019470215,3.714
bubblesort_ll2,0.017944336,0.017456055,3.506
bubblesort_ll,0.019104004,0.014587402,2.943
bubblesort_ll,0.014160156,0.014282227,2.514
bubblesort_ll,0.014465332,0.01385498,2.382
bubblesort_ll,0.01361084,0.014099121,2.451
bubblesort_ll,0.014709473,0.014038086,2.459
bubblesort_ll,0.019958496,0.01373291,2.374
bubblesort_ll,0.013916016,0.014160156,2.48
bubblesort_ll,0.019836426,0.013061523,2.491
bubblesort_ll,0.012512207,0.014343262,2.333
bubblesort_ll,0.01348877,0.014648438,2.402
bubblesort_ll,0.013244629,0.01361084,2.368
bubblesort_ll,0.013183594,0.014099121,2.378
bubblesort_ll,0.020141602,0.013366699,2.406
bubblesort_ll,0.012451172,0.015258789,2.504
bubblesort_ll,0.020324707,0.01348877,2.497
bubblesort_ll,0.013244629,0.014648438,2.532
bubblesort_ll,0.01940918,0.013793945,2.374
bubblesort_ll,0.013000488,0.01361084,2.392
bubblesort_ll,0.013305664,0.013305664,2.385
bubblesort_ll,0.019897461,0.014648438,2.474
bubblesort_ll,0.01361084,0.014404297,2.409
bubblesort_ll,0.020141602,0.013671875,2.391
bubblesort_ll,0.012695313,0.014648438,2.43
bubblesort_ll,0.013793945,0.013000488,2.356
